OID_,CID,name,POINT_X,POINT_Y,OID1
122,19,grspn122,-68.558876453999972,44.044951690000062,
123,19,grspn123,-68.555634296999983,44.043406296000057,
124,19,grspn124,-68.556679436999957,44.043620512000075,
125,19,grspn125,-68.554385845999946,44.043435068000065,
126,19,grspn126,-68.558514183999932,44.041391836000059,
127,19,grspn127,-68.554629957999964,44.043524973000046,
128,19,grspn128,-68.558907721999958,44.043217009000045,
129,19,grspn129,-68.559136283999976,44.042053940000073,
130,19,grspn130,-68.559010165999950,44.041989131000037,
131,19,grspn131,-68.557848577999948,44.043762723000043,
132,19,grspn132,-68.554977779999945,44.043342019000079,
133,19,grspn133,-68.555311239999980,44.042363329000068,
134,19,grspn134,-68.557713183999965,44.040159029000051,
135,19,grspn135,-68.558950099999947,44.042668968000044,
136,19,grspn136,-68.559193562999951,44.043693777000044,
137,19,grspn137,-68.558445750999965,44.041694302000053,
138,19,grspn138,-68.556656812999961,44.041523666000046,
139,19,grspn139,-68.555727481999952,44.042839402000027,
140,19,grspn140,-68.558881253999971,44.042983858000071,
141,19,grspn141,-68.555792470999961,44.040100852000080,
142,19,grspn142,-68.557801775999963,44.043508087000077,
143,19,grspn143,-68.556656289999978,44.041854005000062,
144,19,grspn144,-68.556254152999941,44.043141230000060,
145,19,grspn145,-68.558451702999946,44.040588135000064,
146,19,grspn146,-68.558843438999986,44.042015455000069,
147,19,grspn147,-68.557901743999935,44.044579647000035,
148,19,grspn148,-68.556102703999954,44.042414741000073,
149,19,grspn149,-68.557858431999932,44.041992869000069,
150,19,grspn150,-68.558324302999949,44.044348802000059,
151,19,grspn151,-68.556847522999988,44.042161558000032,
152,19,grspn152,-68.556218202999958,44.042256237000061,
153,19,grspn153,-68.558244673999980,44.042196056000080,
154,19,grspn154,-68.556709525999963,44.041054825000060,
155,19,grspn155,-68.559335618999967,44.044821047000028,
156,19,grspn156,-68.558326517999944,44.042583621000063,
157,19,grspn157,-68.556457887999954,44.040074414000060,
158,19,grspn158,-68.557424296999955,44.044204340000078,
159,19,grspn159,-68.554857279999965,44.043677714000069,
160,19,grspn160,-68.557580441999960,44.041370587000074,
161,19,grspn161,-68.556704923999973,44.044086485000037,
162,19,grspn162,-68.556377384999962,44.043574573000058,
163,19,grspn163,-68.559239478999984,44.043485375000046,
164,19,grspn164,-68.557787990999941,44.040283986000077,
165,19,grspn165,-68.558924330999957,44.043916803000059,
166,19,grspn166,-68.558434081999962,44.041534720000072,
167,19,grspn167,-68.557109846999936,44.043174283000042,
168,19,grspn168,-68.557151192999982,44.040532859000052,
169,19,grspn169,-68.558081778999963,44.043880227000045,
170,19,grspn170,-68.558044030999952,44.044502281000064,
171,19,grspn171,-68.557957621999947,44.044171185000039,
172,19,grspn172,-68.558312183999988,44.040722331000040,
173,19,grspn173,-68.556290371999978,44.041197944000032,
174,19,grspn174,-68.554468436999969,44.043255591000047,
175,19,grspn175,-68.558467701999973,44.042708571000048,
176,19,grspn176,-68.557362603999934,44.043489098000066,
177,19,grspn177,-68.558030123999970,44.044854287000078,
178,19,grspn178,-68.555113930999937,44.042914122000070,
179,19,grspn179,-68.558853838999937,44.041873730000077,
180,19,grspn180,-68.556642349999947,44.042440351000039,
181,19,grspn181,-68.557955362999962,44.041443785000070,
182,19,grspn182,-68.557751710999980,44.042597230000069,
183,19,grspn183,-68.557544027999938,44.040205668000056,
184,19,grspn184,-68.556474194999964,44.043818549000036,
185,19,grspn185,-68.558341548999977,44.040860615000042,
186,19,grspn186,-68.558823149999967,44.044279517000064,
187,19,grspn187,-68.558980679999934,44.042547754000054,
188,19,grspn188,-68.559251900999982,44.044311388000040,
189,19,grspn189,-68.557125610999947,44.039976529000057,
190,19,grspn190,-68.557342694999988,44.043058701000064,
191,19,grspn191,-68.556087744999957,44.041227538000044,
192,19,grspn192,-68.556518522999966,44.044135978000043,
193,19,grspn193,-68.555667477999975,44.040174963000027,
194,19,grspn194,-68.559162637999975,44.044040562000077,
195,19,grspn195,-68.554207994999956,44.043170872000076,
196,19,grspn196,-68.558115539999960,44.041642124000077,
197,19,grspn197,-68.555521422999959,44.042615595000029,
198,19,grspn198,-68.559071890999974,44.044221695000033,
199,19,grspn199,-68.557502250999960,44.041894981000041,
200,19,grspn200,-68.557865769999978,44.044488350000051,
201,19,grspn201,-68.554732825999963,44.042950769000072,
202,19,grspn202,-68.557000676999962,44.043579139000030,
203,19,grspn203,-68.554481826999961,44.043689264000079,
204,19,grspn204,-68.557922574999964,44.041051096000047,
205,19,grspn205,-68.557158669999978,44.044787170000063,
206,19,grspn206,-68.554364453999938,44.043005855000047,
207,19,grspn207,-68.557493255999987,44.043788700000050,
208,19,grspn208,-68.557661415999974,44.042257520000078,
209,19,grspn209,-68.557396377999964,44.042374004000067,
210,19,grspn210,-68.556264540999962,44.044511418000070,
211,19,grspn211,-68.558116444999939,44.041328318000069,
212,19,grspn212,-68.558234323999955,44.041597866000075,
213,19,grspn213,-68.556593149999969,44.043441547000043,
214,19,grspn214,-68.558091394999963,44.044742348000057,
215,19,grspn215,-68.556861110999932,44.042313632000059,
216,19,grspn216,-68.557911097999977,44.040174908000040,
217,19,grspn217,-68.556722064999974,44.041583876000061,
218,19,grspn218,-68.559199496999952,44.041469041000028,
219,19,grspn219,-68.558071502999951,44.041199713000026,
220,19,grspn220,-68.554468439999937,44.043780009000045,
221,19,grspn221,-68.558248650999985,44.040383871000074,
222,19,grspn222,-68.557480961999943,44.040825089000066,
